id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,billing_date,exp_amount,taster_name,account_no
674,36,2019-02-25,13:40:00,16:10:00,20,Hi,87,0,Hi,"26,27",2,24,0,completed,3,1,2,14:24:00,00:00:00,00:00:00,14:26:00,00:02:00,22.6091,88.4142,"2019-02-25 07:42:58","2019-02-25 08:57:20",0,pending,1,2019-02-25,$123,"Kim Chan",1234567890
673,36,2019-02-25,13:00:00,16:30:00,18,Hi,87,0,Hi,"26,27",2,24,0,completed,3,1,2,13:32:00,00:00:00,00:00:00,13:49:00,00:17:00,22.6091,88.4142,"2019-02-25 07:41:56","2019-02-25 08:19:48",0,pending,1,2019-02-25,$123,"Kim Chan",1234567890
668,65,2019-02-22,14:45:00,16:00:00,18,"This is for testing",108,0,"Good Luck",26,2,24,0,completed,3,1,2,14:45:00,00:00:00,00:00:00,16:17:00,01:32:00,22.6092,88.4142,"2019-02-22 09:10:28","2019-02-22 10:53:20",0,pending,1,2019-02-22,$5,"Christopher Williams",3739994747
664,65,2019-02-22,11:00:00,14:30:00,20,"Approve For Chris",108,0,"Good Luck",19,2,24,0,completed,3,1,2,11:20:00,00:00:00,00:00:00,13:22:00,02:02:00,22.6092,88.4141,"2019-02-22 05:25:02","2019-02-22 07:57:01",0,pending,1,2019-02-22,$5,"Christopher Williams",3739994747
657,65,2019-02-21,15:15:00,17:45:00,20,Approve,111,0,"Good Luck",26,2,24,0,completed,3,1,2,15:12:00,00:00:00,00:00:00,15:15:00,00:03:00,22.6091,88.4142,"2019-02-21 09:12:04","2019-02-21 09:48:09",0,pending,1,2019-02-21,$56,"Brian Adams",4578920929
656,65,2019-02-21,15:00:00,17:30:00,16,Approve,111,0,"Good Luck",11,2,24,0,completed,3,1,2,14:50:00,00:00:00,00:00:00,14:56:00,00:06:00,22.6091,88.4142,"2019-02-21 09:11:03","2019-02-21 09:28:25",0,pending,1,2019-02-21,$56,"Brian Adams",4578920929
655,65,2019-02-21,14:00:00,15:30:00,18,Approve,111,0,"Good Luck","26,27",2,24,0,completed,3,1,2,14:00:00,00:00:00,00:00:00,14:33:00,00:33:00,22.6093,88.4134,"2019-02-21 08:26:46","2019-02-21 09:04:31",0,pending,1,2019-02-21,$5,"Brian Adams",4578920929
654,65,2019-02-21,14:00:00,15:30:00,20,Approve,111,0,"Good Luck","9,27",2,24,0,completed,3,1,2,13:47:00,00:00:00,00:00:00,13:48:00,00:01:00,22.6093,88.4134,"2019-02-21 08:13:43","2019-02-21 08:19:38",0,pending,1,2019-02-21,$5,"Brian Adams",4578920929
650,65,2019-02-21,13:00:00,14:30:00,18,"Hi Admin",108,0,"Good Luck",19,2,24,0,completed,3,1,2,12:49:00,00:00:00,00:00:00,14:20:00,01:31:00,22.6092,88.4141,"2019-02-21 06:53:13","2019-02-21 08:51:26",0,pending,1,2019-02-21,$5,"Christopher Williams",3739994747
648,36,2019-02-21,11:30:00,12:30:00,16,"Approve For Android",111,0,"Good Luck",19,2,24,0,completed,3,1,2,11:24:00,00:00:00,00:00:00,12:31:00,01:07:00,22.6091,88.4142,"2019-02-21 05:46:55","2019-02-21 07:05:26",0,pending,1,2019-02-21,$10,"Brian Adams",4578920929
